"","exposure","coord","chrom_no","chrom","chromStart","chromEnd","no.cpgs","Slk_sidak_p","gene_simple","gene_all","CpG","probe_feature","cg_island","beta_direction","mean_beta","min_beta","max_beta","all_beta","overlap_no"
"1","Wildfire-related","chr1:1067098-1067398",1,"chr1",1067098,1067398,4,0.006961,"","","cg11750929/cg01776299/cg00300303/cg09032281","IGR","opensea","-/-/-/-",-0.00479729256790826,-0.0102727557947035,-0.00144228160010762,"-0.00144228160010762/-0.00478521326260656/-0.0102727557947035/-0.00268891961421537",1
"2","Wildfire-related","chr2:43903469-43903901",2,"chr2",43903469,43903901,7,0.002292,"PLEKHH2","PLEKHH2","cg09325404/cg11267669/cg14230606/cg09132607/cg02111748/cg20563666/cg14454477","Body","opensea","+/+/+/+/+/+/+",0.00779814656151912,0.00354504459956332,0.0135196159431092,"0.00537269532034619/0.00659365263740405/0.0109608814976094/0.00354504459956332/0.00450976199886846/0.0100853739337332/0.0135196159431092",1
"3","Wildfire-related","chr2:135226786-135227040",2,"chr2",135226786,135227040,2,0.00379,"TMEM163","TMEM163","cg24519533/cg18712599","Body","opensea","-/-",-0.00494772246371311,-0.00643839125043552,-0.00345705367699069,"-0.00345705367699069/-0.00643839125043552",1
"4","Wildfire-related","chr3:140813918-140814134",3,"chr3",140813918,140814134,3,0.0001086,"SPSB4","SPSB4","cg07852840/cg23339720/cg20354777","Body","island","+/+/+",0.0102807840537035,0.00471215221431158,0.0158566139961097,"0.00471215221431158/0.0158566139961097/0.0102735859506893",1
"5","Wildfire-related","chr4:903031-903474",4,"chr4",903031,903474,4,2.819e-05,"GAK","GAK","cg01753731/cg14816007/cg03041730/cg14517359","Body","shelf","-/-/-/-",-0.00232157081632029,-0.00308630345278157,-0.00133934957812595,"-0.00133934957812595/-0.00246902449598542/-0.00308630345278157/-0.00239160573838823",1
"6","Wildfire-related","chr4:3704823-3704881",4,"chr4",3704823,3704881,3,0.002865,"","","cg01966532/cg16550757/cg15642673","IGR","opensea","-/-/-",-0.0120344515170518,-0.0154282830148161,-0.00780234714795171,"-0.00780234714795171/-0.0154282830148161/-0.0128727243883878",1
"7","Wildfire-related","chr5:135415692-135416614",5,"chr5",135415692,135416614,16,2.518e-15,"/MIR886","//////MIR886/MIR886/MIR886/MIR886/MIR886/MIR886/MIR886/MIR886/MIR886/MIR886","cg07158503/cg04515200/cg13581155/cg11978884/cg11608150/cg06478886/cg04481923/cg18678645/cg06536614/cg26328633/cg25340688/cg26896946/cg00124993/cg08745965/cg16615357/cg18797653","IGR/IGR/IGR/IGR/IGR/IGR/Body/TSS200/TSS200/TSS200/TSS200/TSS200/TSS200/TSS1500/TSS1500/TSS1500","shore/shore/shore/shore/shore/shore/island/island/island/island/island/island/island/shore/shore/shore","-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-",-0.0235485911510177,-0.0314828837672093,-0.00978043830887713,"-0.0255155292746524/-0.0179550010077709/-0.00978043830887713/-0.0153817767260442/-0.0246973333851345/-0.0201402897473386/-0.0314828837672093/-0.0260682565386826/-0.0267350834658007/-0.0273776702064762/-0.030311434604953/-0.0228895061320779/-0.0256676343497063/-0.0236287018727169/-0.0263279017402673/-0.0228180172885759",1
"8","Wildfire-related","chr6:6534796-6534840",6,"chr6",6534796,6534840,2,0.00447,"LOC285780","LOC285780","cg21120176/cg06501113","Body","opensea","-/-",-0.00459017766395019,-0.00569303468717927,-0.00348732064072111,"-0.00348732064072111/-0.00569303468717927",1
"9","Wildfire-related","chr6:29648160-29648902",6,"chr6",29648160,29648902,20,5.893e-05,"","","cg25978138/cg11747594/cg15708526/cg04071440/cg08022281/cg10648573/cg12644888/cg22494932/cg25699073/cg07134666/cg00588198/cg16885113/cg20228636/cg11383134/cg03198009/cg03449857/cg15570656/cg02157626/cg13835168/cg08041448","IGR","opensea","+/+/+/+/+/+/+/+/+/+/+/+/+/+/+/+/+/+/+/+",0.0121164808014161,0.00399060928118658,0.0215415048532076,"0.00486163718768184/0.0112299963318726/0.0132110890978311/0.00761957859376189/0.00928854327915122/0.00994684902460583/0.00399060928118658/0.010003158363431/0.00953206663079438/0.0210551462251195/0.00906804038808387/0.0127219708152124/0.0130195786223513/0.0183855160810586/0.019026612311896/0.0167264516949257/0.0154678458956258/0.00711686892934942/0.0215415048532076/0.00851655242117526",1
"10","Wildfire-related","chr6:32632936-32633164",6,"chr6",32632936,32633164,8,0.0003336,"HLA-DQB1","HLA-DQB1","cg21588215/cg23967822/cg03403720/cg27196273/cg03202060/cg13047157/cg24593918/cg23464743","Body","island/island/island/island/island/shore/shore/shore","+/+/+/+/+/+/+/+",0.00713810589708628,0.00369582021245175,0.0126968183153788,"0.00369582021245175/0.00451662980879647/0.00410993591650247/0.00500277641315073/0.00950905623938544/0.00796280862937724/0.00961100164164735/0.0126968183153788",1
"11","Wildfire-related","chr6:37751618-37751927",6,"chr6",37751618,37751927,3,0.004599,"","","cg09496915/cg07471461/cg27368911","IGR","opensea","-/-/-",-0.00367409746080547,-0.00518576085153894,-0.00239213240198771,"-0.00239213240198771/-0.00518576085153894/-0.00344439912888977",1
"12","Wildfire-related","chr7:187253-187340",7,"chr7",187253,187340,3,0.00295,"","","cg02820566/cg20865618/cg25980689","IGR","shore","+/+/+",0.0130138365700338,0.00752715422345655,0.0164390208857846,"0.0150753346008603/0.00752715422345655/0.0164390208857846",1
"13","Wildfire-related","chr7:111368366-111368848",7,"chr7",111368366,111368848,4,0.0002951,"DOCK4","DOCK4","cg21594400/cg09678349/cg01567825/cg20959907","Body","island/island/island/shore","-/-/-/-",-0.00762006306134987,-0.0120642937035279,-0.00373888698221102,"-0.00373888698221102/-0.0120642937035279/-0.00701924066871889/-0.00765783089094168",1
"14","Wildfire-related","chr11:30038614-30038798",11,"chr11",30038614,30038798,9,0.004707,"KCNA4","KCNA4","cg10387551/cg17714025/cg15044957/cg08490115/cg15310492/cg05756220/cg22685409/cg03506489/cg13161658","TSS200/TSS200/TSS200/TSS200/TSS200/TSS200/TSS1500/TSS1500/TSS1500","island","-/-/-/-/-/-/-/-/+",-0.00399129951112933,-0.00859077401464772,0.000499223958784107,"-0.00350839950936418/-0.00320033656436245/-0.00356001905947867/-0.00490501566619882/-0.00668891056800918/-0.00859077401464772/-0.0054537981464248/-0.000513666030462256/0.000499223958784107",1
"15","Wildfire-related","chr11:128693676-128694389",11,"chr11",128693676,128694389,8,2.869e-09,"","","cg17297696/cg03340701/cg15509024/cg13019868/cg16777618/cg09813060/cg07690882/cg20933297","IGR","shore/shore/shore/island/island/island/island/island","-/-/-/-/-/-/-/-",-0.00849836169207641,-0.0127254438230787,-0.00281111683700929,"-0.0031086237699922/-0.00281111683700929/-0.00581838467999584/-0.0120758897716822/-0.00968366785367608/-0.0105587228394755/-0.0127254438230787/-0.0112050439617015",1
"16","Wildfire-related","chr12:7781003-7781289",12,"chr12",7781003,7781289,4,0.0005322,"","","cg16874583/cg10578777/cg14906510/cg25828445","IGR","island/island/island/shore","+/+/+/+",0.0156226655615603,0.010815971369218,0.0205301792206668,"0.0115796046538647/0.0205301792206668/0.010815971369218/0.0195649070024919",1
"17","Wildfire-related","chr12:53341685-53341806",12,"chr12",53341685,53341806,2,0.008301,"KRT18","KRT18","cg12121782/cg07051221","TSS1500","shore","+/+",0.00419617441321937,0.00415664826885272,0.00423570055758601,"0.00415664826885272/0.00423570055758601",1
"18","Wildfire-related","chr12:75905371-75905682",12,"chr12",75905371,75905682,9,0.003376,"KRR1","KRR1","cg03389111/cg19959974/cg00596643/cg09634360/cg13114458/cg00147009/cg26577178/cg21535462/cg18557556","1stExon/1stExon/TSS200/TSS200/TSS200/TSS200/TSS200/TSS1500/TSS1500","island/island/island/island/island/shore/shore/shore/shore","+/-/-/-/-/-/+/+/+",0.00181068324468639,-0.00243893385487782,0.0119152299743265,"0.00085070229979051/-0.00160381172791312/-0.00243893385487782/-0.000120351051537536/-0.00127505521697612/-0.000452952907304553/0.000827468890883627/0.00859385279578606/0.0119152299743265",1
"19","Wildfire-related","chr12:122684992-122685213",12,"chr12",122684992,122685213,2,0.006957,"LRRC43","LRRC43","cg06654865/cg15091123","Body","shelf","+/-",0.00070338642776397,-0.00302475788571607,0.00443153074124401,"0.00443153074124401/-0.00302475788571607",1
"20","Wildfire-related","chr14:24801615-24802151",14,"chr14",24801615,24802151,4,7.704e-07,"ADCY4","ADCY4","cg19558628/cg02098786/cg26279745/cg22990158","Body","shore/island/island/island","-/+/+/+",0.00741712100265496,-0.000906665960738611,0.0147010887135015,"-0.000906665960738611/0.0112234824801586/0.0147010887135015/0.00465057877769836",1
"21","Wildfire-related","chr14:55907121-55907502",14,"chr14",55907121,55907502,9,0.004903,"TBPL2","TBPL2","cg23573665/cg21836586/cg15312264/cg23251248/cg26143452/cg10807643/cg10257302/cg04380297/cg16249711","1stExon/1stExon/TSS200/TSS200/TSS200/TSS200/TSS200/TSS200/TSS1500","shore/island/island/island/island/island/island/shore/shore","+/+/+/+/+/+/+/+/+",0.00755287063694835,0.0045853418791026,0.0122645910727292,"0.00845222333574201/0.0122645910727292/0.00961470745407248/0.00971847040588444/0.00751047739367628/0.00617723909376541/0.00499077851326181/0.0045853418791026/0.00466200658430094",1
"22","Wildfire-related","chr15:41228520-41228737",15,"chr15",41228520,41228737,5,0.007013,"DLL4","DLL4","cg14209037/cg10451566/cg09900371/cg08732418/cg02374934","Body","island","-/-/-/-/-",-0.00302679002431496,-0.0068061347916286,-0.000806108212139573,"-0.00189311146601659/-0.0025995216577655/-0.000806108212139573/-0.0068061347916286/-0.00302907399402454",1
"23","Wildfire-related","chr16:1518591-1518752",16,"chr16",1518591,1518752,3,2.072e-05,"CLCN7","CLCN7","cg06489615/cg05255168/cg05516020","Body","shelf","-/-/-",-0.00579953037618608,-0.00941172912337777,-0.00192582626950512,"-0.00192582626950512/-0.00606103573567535/-0.00941172912337777",1
"24","Wildfire-related","chr17:2843148-2843258",17,"chr17",2843148,2843258,3,6.101e-05,"RAP1GAP2","RAP1GAP2","cg24366564/cg02909097/cg02976843","Body","opensea","-/-/-",-0.00622592417438177,-0.00919613136138595,-0.00455626748567371,"-0.00455626748567371/-0.00492537367608564/-0.00919613136138595",1
"25","Wildfire-related","chr17:6899084-6899578",17,"chr17",6899084,6899578,11,0.0002069,"ALOX12","ALOX12","cg19536664/cg05215272/cg14375499/cg03760483/cg03404566/cg03762994/cg09737314/cg03407747/cg21237687/cg12262378/cg02493798","TSS1500/TSS1500/TSS200/TSS200/TSS200/TSS200/TSS200/TSS200/TSS200/1stExon/Body","island","-/-/-/-/-/-/-/-/-/-/-",-0.00894852249790216,-0.0118068435188951,-0.000571152130219448,"-0.0112790786899394/-0.00862707040164836/-0.000571152130219448/-0.0118068435188951/-0.0104620466495102/-0.00884494974004431/-0.0105629180469162/-0.01061867007707/-0.0102311936541978/-0.00761931326300326/-0.00781051130547976",1
"26","Wildfire-related","chr17:37123637-37123950",17,"chr17",37123637,37123950,9,1.424e-06,"FBXO47","FBXO47","cg22361859/cg14399930/cg16530382/cg26740942/cg10600889/cg00055529/cg04120272/cg23965214/cg06711380","1stExon/TSS200/TSS200/TSS200/TSS200/TSS200/TSS200/TSS1500/TSS1500","opensea","+/+/+/+/+/+/+/+/+",0.0122242335629901,0.00564023473570573,0.0163861985811202,"0.0128813905661986/0.0142899466937751/0.0148154211139529/0.0163861985811202/0.0104503620153584/0.0132869084157523/0.0127946176159155/0.00947302232913213/0.00564023473570573",1
"27","Wildfire-related","chr17:42431626-42432166",17,"chr17",42431626,42432166,5,9.835e-06,"FAM171A2","FAM171A2","cg17624802/cg09014329/cg23766254/cg22078805/cg19935040","Body","island","+/+/+/+/+",0.00967698752817961,0.00752448721374178,0.0137514637231993,"0.0085827026343972/0.0103387079216069/0.00818757614795284/0.0137514637231993/0.00752448721374178",1
"28","Wildfire-related","chr17:46507829-46508098",17,"chr17",46507829,46508098,4,2.767e-07,"SKAP1","SKAP1","cg12513481/cg04483289/cg24322968/cg02957270","TSS1500","shore","+/+/+/+",0.00767062481316763,0.004638479703499,0.010440208044276,"0.00782571397636586/0.004638479703499/0.00777809752852966/0.010440208044276",1
"29","Wildfire-related","chr17:75096201-75096383",17,"chr17",75096201,75096383,3,0.0001615,"","","cg20610950/cg11597902/cg11186858","IGR","opensea","-/-/-",-0.00790547967801775,-0.00971827666299847,-0.00548487412867083,"-0.00548487412867083/-0.00971827666299847/-0.00851328824238394",1
"30","Wildfire-related","chr19:37825306-37825680",19,"chr19",37825306,37825680,7,1.932e-07,"HKR1","HKR1","cg26734888/cg14166009/cg13687570/cg05280698/cg24834889/cg12948621/cg12024906","TSS1500/TSS1500/TSS1500/TSS200/TSS200/TSS200/1stExon","island","+/+/+/+/+/+/+",0.0145246265195293,0.00905843639855374,0.0206614596440336,"0.0151694676792485/0.00905843639855374/0.0143107015494696/0.0206614596440336/0.017345032010772/0.0132729146501019/0.0118543737045258",1
"31","Wildfire-related","chr20:62660978-62661196",20,"chr20",62660978,62661196,2,0.008258,"PRPF6","PRPF6","cg13417901/cg19780014","Body","island","-/-",-0.00200729843701607,-0.00238590803648015,-0.00162868883755199,"-0.00238590803648015/-0.00162868883755199",1
"32","Wildfire-related","chr21:40759533-40759695",21,"chr21",40759533,40759695,5,0.005223,"WRB","WRB","cg19761502/cg27119318/cg21736411/cg19684207/cg15977137","Body","shore","-/-/-/-/-",-0.00940583839954743,-0.0134944452431663,-0.00570982619025856,"-0.00797393030502925/-0.0134944452431663/-0.00570982619025856/-0.0104871456371817/-0.00936384462210138",1
"33","Wildfire-related","chr22:46449429-46450115",22,"chr22",46449429,46450115,11,1.062e-12,"C22orf26","C22orf26","cg23595222/cg26394940/cg11153400/cg01080924/cg24349631/cg09693106/cg23691090/cg00785112/cg27140247/cg13269407/cg27131176","Body/Body/Body/Body/1stExon/1stExon/1stExon/TSS200/TSS200/TSS200/TSS200","shore/shore/shore/shore/island/island/island/island/island/island/island","-/-/-/-/-/-/-/-/-/-/-",-0.00887598669268388,-0.0166594336525092,-0.00347590442279344,"-0.00601832540263426/-0.00639509254483169/-0.00816367123558186/-0.00803250664034663/-0.0163828481423263/-0.0166594336525092/-0.0104153539893628/-0.00791878703012231/-0.00445667181105759/-0.00971725874795659/-0.00347590442279344",1
"34","Non-wildfire-related","chr1:200272111-200272216",1,"chr1",200272111,200272216,3,0.008142,"","","cg06811094/cg22810423/cg07138399","IGR","shore","+/+/+",0.00840317448629438,0.00796049892745904,0.00880325692757951,"0.00796049892745904/0.00880325692757951/0.0084457676038446",1
"35","Non-wildfire-related","chr2:27665016-27665307",2,"chr2",27665016,27665307,7,0.005231,"KRTCAP3","KRTCAP3","cg18428193/cg04845466/cg24768116/cg12000995/cg12648201/cg21248554/cg17158414","TSS1500/TSS200/TSS200/TSS200/TSS200/TSS200/1stExon","island","+/+/+/+/+/+/+",0.00843544153568366,0.00579908935648761,0.012087943306513,"0.00729843274342819/0.00579908935648761/0.00882224369685739/0.0110383316423188/0.012087943306513/0.0079655023183459/0.00603654768583469",1
"36","Non-wildfire-related","chr5:138714135-138714340",5,"chr5",138714135,138714340,4,0.004013,"SLC23A1","SLC23A1","cg26929925/cg12205435/cg11459648/cg01742263","Body","island","+/+/+/+",0.00530919116598099,0.00268056272591925,0.00775465985256953,"0.0043200437378239/0.00268056272591925/0.00775465985256953/0.00648149834761126",1
"37","Non-wildfire-related","chr17:17465161-17465477",17,"chr17",17465161,17465477,5,1.094e-05,"PEMT","PEMT","cg11556559/cg05694563/cg18173263/cg02625024/cg22542139","Body","island/island/island/island/shore","+/+/+/+/+",0.00428620851254516,0.00245317774187512,0.00547476704516295,"0.00351639981955973/0.00245317774187512/0.0050796959006667/0.00547476704516295/0.00490700205546131",1
"38","Non-wildfire-related","chr19:13947161-13947474",19,"chr19",13947161,13947474,6,0.0052,"MIR24-2/MIR27A/MIR23A","MIR24-2/MIR24-2/MIR27A/MIR27A/MIR27A/MIR23A","cg05028773/cg08198483/cg19357865/cg02990289/cg06606386/cg11429044","Body/TSS200/Body/Body/TSS200/TSS200","shelf","+/+/+/+/+/+",0.00221672869152241,0.000343106076291849,0.00353219442599053,"0.00271975896751575/0.00353219442599053/0.000343106076291849/0.0019306654009293/0.00213547313311913/0.00263917414528794",1
"39","Non-wildfire-related","chr19:19280968-19281475",19,"chr19",19280968,19281475,10,0.004938,"LOC729991-MEF2B","LOC729991-MEF2B","cg15207422/cg26504305/cg08207377/cg19540702/cg23543615/cg12558012/cg15174905/cg24446071/cg01726393/cg26152485","Body","shore/island/island/island/island/island/island/island/island/island","-/+/+/+/+/+/+/+/+/+",0.00286862703960913,-0.000525188413617859,0.00662814272447976,"-0.000525188413617859/0.00312930286795236/0.00393608698524311/0.00388280903038962/0.00268609153367516/0.0019104456013379/0.00662814272447976/0.00305632822702542/0.00349041195023534/0.00049183988937053",1
"40","Non-wildfire-related","chr20:62406427-62406722",20,"chr20",62406427,62406722,3,0.0007839,"ZBTB46","ZBTB46","cg14251267/cg16737517/cg18369516","Body","shore/island/island","+/+/+",0.00870554253573287,0.00766015841696579,0.00982986591457203,"0.00766015841696579/0.00982986591457203/0.00862660327566079",1
